user_id,signup_date,age,country,device_type,traffic_source,income_segment,engagement_score,historical_platform_usage,email_verified,payment_method,prior_trial_user,student_flag,timezone,app_version,signup_hour_utc,notification_opt_in,account_completeness_score,cohort_week
54,2024-08-22,38.0,NG,web_desktop,direct,40k_70k,37.82,17.906,1,google_pay,0,0,UTC-08:00,3.11.0,14,0,0.53,33
55,2024-06-01,28.0,DE,web_mobile,organic_search,<40k,42.52,10.204,1,card,0,0,UTC+08:00,3.11.1,0,1,0.85,21
56,2025-04-17,33.0,GB,mobile_ios,email,100k_150k,50.94,9.555,0,card,0,0,UTC+05:30,3.10.0,2,1,0.78,67
57,2025-05-19,16.0,GB,mobile_ios,direct,,67.7,6.215,1,bank_debit,1,0,UTC-08:00,3.9.1,17,0,0.51,72
58,2024-12-22,38.0,SG,web_desktop,direct,<40k,27.26,6.524,1,card,0,0,UTC-08:00,3.9.1,5,1,0.97,50
59,2025-11-22,31.0,DE,mobile_android,organic_search,150k_plus,45.01,6.866,1,card,0,0,UTC+08:00,3.11.1,2,1,0.89,98
60,2025-10-13,53.0,US,web_desktop,organic_search,40k_70k,67.53,11.513,1,paypal,0,1,UTC-08:00,3.10.2,11,1,0.96,93
61,2025-07-29,44.0,US,mobile_ios,affiliate,70k_100k,55.71,4.818,1,google_pay,0,0,UTC+05:30,3.10.0,4,0,0.75,82
62,2025-02-13,16.0,PH,web_mobile,referral,100k_150k,15.0,11.854,1,apple_pay,0,0,UTC+05:30,3.10.2,9,0,1.0,58
63,2025-01-15,16.0,CA,mobile_android,paid_social,70k_100k,15.63,7.062,1,card,1,0,UTC+08:00,3.11.0,19,0,0.47,54
64,2025-04-27,17.0,IN,web_desktop,organic_search,150k_plus,22.22,11.835,1,paypal,1,0,UTC+08:00,3.10.0,12,1,0.37,68
65,2025-03-01,29.0,CA,mobile_ios,direct,100k_150k,39.28,10.013,1,card,0,0,UTC+05:30,3.11.0,20,1,0.86,60
66,2024-04-18,36.0,DE,mobile_ios,email,40k_70k,52.62,4.929,1,paypal,0,0,UTC+05:30,3.10.2,19,0,0.73,15
67,2025-04-22,25.0,CA,mobile_android,direct,,56.65,9.318,1,card,0,0,UTC+00:00,3.10.0,20,1,0.55,68
68,2024-07-01,30.0,CA,mobile_android,direct,70k_100k,45.99,8.5,1,google_pay,0,0,UTC-08:00,3.10.2,1,1,0.38,26
69,2025-06-23,18.0,PH,mobile_android,affiliate,100k_150k,61.43,18.812,1,apple_pay,0,0,UTC+01:00,3.11.0,12,1,0.47,77
70,2024-01-20,21.0,GB,mobile_ios,direct,150k_plus,51.21,6.692,1,paypal,1,0,UTC-05:00,3.10.2,20,0,0.42,2
71,2024-02-06,31.0,SG,mobile_android,email,<40k,39.63,26.722,1,card,0,0,UTC+00:00,3.11.0,3,1,0.9,5
72,2025-03-05,45.0,US,mobile_android,paid_social,70k_100k,56.14,9.259,1,google_pay,0,1,UTC+05:30,3.10.0,0,1,0.47,61
73,2025-07-27,41.0,US,mobile_ios,organic_search,150k_plus,47.89,6.407,1,paypal,1,1,UTC+05:30,3.10.0,12,1,0.83,81
74,2025-02-14,21.0,SG,mobile_android,email,40k_70k,12.39,4.163,1,card,0,0,UTC+05:30,3.10.2,5,1,0.41,58
75,2024-05-03,20.0,CA,mobile_android,affiliate,70k_100k,38.29,6.096,1,paypal,0,0,UTC+05:30,3.10.0,21,1,0.98,17
76,2024-08-12,21.0,PH,mobile_ios,organic_search,70k_100k,27.18,5.613,0,card,0,0,UTC+08:00,3.11.1,1,1,0.96,32
77,2024-11-19,29.0,PH,mobile_ios,direct,40k_70k,41.18,7.938,0,paypal,0,0,UTC+08:00,3.10.2,13,0,0.44,46
78,2024-06-18,42.0,CA,mobile_android,referral,<40k,68.17,18.242,1,paypal,0,0,UTC-05:00,3.10.2,3,0,0.9,24
79,2025-12-03,30.0,US,mobile_ios,email,<40k,33.1,6.643,1,card,0,0,UTC+00:00,3.11.1,10,0,0.79,100
80,2024-11-26,28.0,CA,web_desktop,direct,70k_100k,52.91,10.63,1,card,0,0,UTC-08:00,3.11.1,14,1,0.93,47
81,2025-10-12,43.0,US,mobile_android,email,150k_plus,61.96,10.042,0,paypal,0,0,UTC-05:00,3.10.2,6,1,0.67,92
82,2024-03-16,38.0,US,mobile_ios,referral,,9.07,4.02,1,card,0,0,UTC+00:00,3.10.2,23,0,0.43,10
83,2024-12-06,,US,mobile_android,paid_social,,71.33,2.98,1,paypal,0,0,UTC-05:00,3.10.0,0,0,0.36,48
84,2025-09-14,32.0,US,mobile_ios,organic_search,<40k,56.0,6.816,1,card,0,0,UTC+00:00,3.10.2,14,0,0.43,88
85,2024-07-23,36.0,US,web_mobile,email,100k_150k,63.11,8.728,0,google_pay,1,0,UTC+00:00,3.10.2,11,1,0.65,29
86,2025-08-30,29.0,BR,mobile_ios,affiliate,100k_150k,61.15,4.752,1,card,1,0,UTC+08:00,3.10.0,10,1,0.86,86
87,2025-07-06,16.0,US,mobile_android,organic_search,70k_100k,20.38,1.679,1,paypal,0,0,UTC-08:00,3.11.0,1,0,0.57,78
88,2025-03-11,18.0,CA,web_desktop,referral,70k_100k,82.98,14.847,1,paypal,0,0,UTC+05:30,3.9.1,6,1,0.75,62
89,2024-02-02,23.0,PH,mobile_ios,organic_search,100k_150k,57.37,8.905,1,google_pay,1,0,UTC+01:00,3.11.1,11,1,0.84,4
90,2025-10-20,,GB,mobile_ios,referral,100k_150k,44.02,4.696,1,google_pay,0,0,UTC-05:00,3.9.1,23,1,0.86,94
91,2024-12-14,21.0,BR,web_desktop,organic_search,70k_100k,51.16,5.087,1,apple_pay,0,0,UTC+05:30,3.11.1,4,1,0.9,49
92,2025-03-23,57.0,US,mobile_android,affiliate,100k_150k,64.25,7.417,1,paypal,0,1,UTC+08:00,3.11.1,8,1,0.87,63
93,2025-05-17,33.0,BR,mobile_ios,referral,<40k,55.39,13.299,1,card,0,1,UTC+05:30,3.10.0,22,0,0.94,71
94,2024-12-24,45.0,US,mobile_ios,referral,40k_70k,40.46,8.541,1,card,0,0,UTC+05:30,3.11.1,8,1,0.95,51
95,2024-04-26,16.0,AU,web_desktop,organic_search,70k_100k,59.15,7.508,1,card,0,1,UTC-05:00,3.10.0,12,0,0.64,16
96,2025-03-13,43.0,IN,mobile_ios,organic_search,100k_150k,25.5,8.001,1,card,0,0,UTC+08:00,3.10.2,2,1,0.92,62
97,2025-03-13,20.0,US,mobile_android,direct,<40k,62.54,18.008,1,card,0,0,UTC-08:00,3.10.2,3,1,0.78,62
98,2024-03-03,42.0,SG,mobile_ios,organic_search,40k_70k,26.71,3.438,1,apple_pay,0,0,UTC+05:30,4.0.0-beta,14,1,0.56,8
99,2024-05-25,26.0,US,mobile_android,paid_social,40k_70k,59.37,17.406,1,paypal,0,0,UTC+08:00,3.10.0,8,1,0.35,20
100,2024-06-07,17.0,NG,mobile_ios,email,150k_plus,49.15,4.442,1,card,0,0,UTC+05:30,3.9.1,23,1,0.54,22
101,2024-09-21,33.0,IN,mobile_ios,direct,40k_70k,66.61,11.825,1,google_pay,0,0,UTC-05:00,3.11.1,3,0,0.91,37
102,2025-02-11,,PH,mobile_android,paid_social,<40k,37.96,4.772,1,paypal,0,0,UTC+01:00,3.10.0,12,0,0.85,58
103,2025-03-23,28.0,PH,mobile_android,email,100k_150k,51.53,5.403,1,card,1,1,UTC+08:00,3.11.0,21,1,0.64,63
104,2024-03-22,16.0,IN,mobile_ios,direct,40k_70k,53.87,7.319,1,card,0,0,UTC-08:00,4.0.0-beta,11,1,0.86,11
105,2025-09-19,50.0,AU,mobile_ios,direct,100k_150k,49.19,10.842,1,bank_debit,0,0,UTC-05:00,3.11.1,14,0,0.94,89
106,2025-08-14,19.0,GB,web_desktop,referral,<40k,44.62,9.555,1,card,0,0,UTC-05:00,3.10.0,15,0,0.96,84
107,2024-03-08,33.0,BR,mobile_android,organic_search,150k_plus,61.0,19.184,1,apple_pay,0,0,UTC+05:30,3.9.0,20,1,0.82,9
108,2024-05-04,35.0,US,web_desktop,organic_search,150k_plus,43.55,5.518,1,card,1,0,UTC-08:00,3.11.1,8,1,0.7,17
109,2025-09-05,36.0,CA,mobile_ios,paid_social,40k_70k,56.8,8.373,1,apple_pay,0,1,UTC-05:00,3.11.1,19,0,0.87,87
110,2024-11-01,23.0,GB,mobile_android,paid_social,unknown,44.53,7.417,1,apple_pay,0,0,UTC+08:00,3.10.0,3,1,0.64,43
111,2024-11-19,31.0,GB,mobile_android,email,,69.11,13.147,1,paypal,0,0,UTC+01:00,3.10.2,16,0,0.76,46
112,2024-12-19,55.0,US,mobile_ios,affiliate,40k_70k,52.96,5.064,1,card,0,0,UTC+01:00,3.9.0,9,1,0.72,50
113,2025-12-24,31.0,US,mobile_android,organic_search,100k_150k,38.54,7.112,1,google_pay,0,0,UTC-08:00,3.10.2,10,0,0.96,103
114,2024-04-25,22.0,PH,mobile_ios,email,,36.83,3.766,1,card,0,0,UTC-08:00,3.11.0,22,0,0.83,16
115,2025-11-18,,AU,mobile_ios,email,<40k,21.2,10.691,1,card,0,0,UTC-08:00,3.10.0,3,1,0.99,98
116,2024-06-25,29.0,GB,mobile_android,organic_search,70k_100k,24.73,3.438,1,card,0,0,UTC-05:00,3.9.1,6,0,0.86,25
117,2025-10-18,28.0,US,mobile_ios,direct,100k_150k,52.46,3.691,1,paypal,0,0,UTC-05:00,3.10.0,15,1,0.46,93
118,2024-12-19,22.0,DE,web_desktop,direct,unknown,15.23,5.194,1,apple_pay,0,0,UTC+00:00,4.0.0-beta,1,1,0.87,50
119,2025-07-07,27.0,PH,mobile_ios,organic_search,40k_70k,56.57,17.086,0,card,0,0,UTC-05:00,3.9.0,15,1,0.89,79
120,2024-03-18,23.0,US,mobile_ios,paid_social,70k_100k,36.3,6.066,1,card,0,0,UTC-08:00,3.10.0,14,1,0.91,11
121,2024-09-23,27.0,SG,mobile_ios,organic_search,40k_70k,34.72,25.675,1,google_pay,0,0,UTC+08:00,3.9.0,11,1,0.91,38
122,2024-05-16,25.0,US,web_desktop,direct,70k_100k,42.05,8.508,1,apple_pay,0,1,UTC+08:00,3.10.2,16,0,0.87,19
123,2025-02-22,37.0,DE,web_mobile,paid_social,70k_100k,73.86,18.76,1,card,0,0,UTC-05:00,4.0.0-beta,14,1,0.95,59
124,2024-01-17,18.0,SG,web_mobile,direct,70k_100k,51.57,20.084,1,card,0,1,UTC+08:00,3.11.1,18,0,0.86,2
125,2024-10-05,25.0,US,web_mobile,direct,100k_150k,41.2,7.246,1,card,0,0,UTC+08:00,3.10.2,16,1,0.86,39
126,2025-01-04,44.0,BR,web_mobile,direct,<40k,26.42,9.056,0,card,0,0,UTC-05:00,3.9.0,3,0,0.73,52
127,2024-12-14,25.0,US,tablet,organic_search,<40k,99.0,8.626,1,apple_pay,0,0,UTC+05:30,3.9.0,3,1,0.68,49
128,2025-08-23,22.0,AU,mobile_android,organic_search,<40k,55.45,6.832,1,card,0,0,UTC+08:00,3.10.0,10,1,0.84,85
129,2025-03-19,29.0,US,web_desktop,direct,150k_plus,61.85,7.32,1,paypal,0,0,UTC+05:30,3.11.0,21,1,0.45,63
130,2025-08-14,41.0,US,mobile_ios,paid_social,40k_70k,52.47,15.536,1,google_pay,0,0,UTC-05:00,3.10.2,0,0,0.49,84
131,2024-12-31,17.0,US,web_mobile,organic_search,,80.3,20.511,1,card,0,1,UTC+01:00,3.10.2,6,0,0.87,52
132,2024-09-16,31.0,IN,mobile_ios,paid_social,40k_70k,34.12,18.563,1,card,0,0,UTC+00:00,3.11.1,10,1,0.5,37
133,2024-08-01,,PH,web_desktop,affiliate,100k_150k,55.78,4.0,1,card,0,0,UTC-05:00,3.9.0,9,0,0.91,30
134,2025-05-16,42.0,IN,mobile_android,direct,40k_70k,48.25,7.843,1,paypal,0,0,UTC+05:30,3.10.0,15,1,0.62,71
135,2025-11-03,23.0,CA,mobile_android,referral,70k_100k,19.69,6.593,0,card,0,0,UTC-08:00,3.10.2,8,1,0.86,96
136,2025-12-23,16.0,US,web_desktop,email,<40k,66.98,7.346,0,paypal,0,0,UTC-08:00,3.11.1,7,0,0.81,103
137,2024-06-18,50.0,US,mobile_android,direct,100k_150k,66.98,9.592,1,apple_pay,0,0,UTC-08:00,3.11.0,14,1,0.39,24
138,2024-11-05,43.0,US,tablet,direct,150k_plus,52.82,7.253,1,card,0,0,UTC+08:00,4.0.0-beta,11,0,0.42,44
139,2025-03-29,20.0,BR,mobile_ios,email,40k_70k,64.3,7.447,1,card,0,0,UTC-08:00,3.10.0,15,1,0.41,64
140,2025-10-29,17.0,DE,mobile_android,paid_social,<40k,40.64,10.088,1,card,0,0,UTC+08:00,3.10.0,1,1,0.83,95
141,2024-08-14,17.0,CA,web_mobile,paid_social,40k_70k,45.69,6.689,1,paypal,0,0,UTC+08:00,3.9.1,8,1,0.43,32
142,2025-07-22,21.0,SG,mobile_android,paid_social,<40k,45.11,5.465,1,card,0,1,UTC+00:00,3.10.0,20,0,0.46,81
143,2025-09-05,31.0,BR,mobile_android,paid_social,150k_plus,33.71,2.414,1,paypal,0,0,UTC-08:00,3.10.0,1,1,0.73,87
144,2024-05-09,40.0,US,mobile_android,referral,150k_plus,36.22,9.176,1,card,0,0,UTC+05:30,3.10.2,11,1,0.46,18
145,2024-08-16,16.0,AU,web_desktop,organic_search,,44.98,11.079,1,card,0,1,UTC+01:00,3.11.0,17,0,0.75,32
146,2024-11-20,29.0,US,mobile_android,direct,100k_150k,64.37,7.333,1,apple_pay,0,0,UTC+05:30,3.9.0,1,1,0.79,46
147,2025-09-11,29.0,SG,mobile_ios,direct,100k_150k,41.98,4.635,1,apple_pay,0,0,UTC+01:00,4.0.0-beta,16,1,0.95,88
148,2025-11-10,,AU,mobile_ios,email,100k_150k,59.75,7.914,1,card,0,0,UTC-05:00,3.9.1,4,0,0.65,97
149,2024-05-01,41.0,US,mobile_android,paid_social,<40k,22.5,3.757,1,card,0,0,UTC+08:00,4.0.0-beta,16,1,0.8,17
150,2024-05-02,16.0,PH,mobile_ios,direct,100k_150k,54.43,9.609,0,paypal,0,0,UTC+05:30,3.10.0,9,1,0.51,17
151,2024-10-07,25.0,US,tablet,referral,40k_70k,50.49,6.827,0,paypal,0,0,UTC+05:30,3.10.0,0,1,0.53,40
152,2024-02-12,35.0,AU,web_desktop,organic_search,100k_150k,73.65,15.388,1,google_pay,0,0,UTC+01:00,3.11.0,16,1,0.92,6
153,2025-01-11,25.0,IN,tablet,paid_social,40k_70k,54.31,6.286,1,paypal,0,0,UTC-08:00,3.10.0,5,1,0.74,53
154,2024-07-14,17.0,PH,web_desktop,organic_search,150k_plus,43.93,31.557,1,paypal,0,0,UTC+01:00,3.10.2,20,1,0.83,27
155,2024-10-09,30.0,GB,web_mobile,organic_search,<40k,35.79,6.906,0,paypal,1,0,UTC+00:00,3.11.0,17,1,0.45,40
156,2024-01-04,19.0,SG,mobile_ios,direct,<40k,62.27,4.297,1,card,0,1,UTC+00:00,3.11.0,4,1,0.35,0
157,2024-06-17,35.0,BR,web_desktop,email,unknown,34.9,5.733,1,google_pay,1,0,UTC+00:00,3.11.1,23,1,0.46,24
158,2024-04-02,16.0,SG,mobile_ios,paid_social,40k_70k,63.94,21.761,1,card,0,0,UTC+08:00,3.10.0,19,0,0.36,13
159,2024-06-12,38.0,NG,mobile_ios,direct,40k_70k,44.62,16.805,1,apple_pay,1,0,UTC+08:00,3.10.2,12,0,0.88,23
160,2024-11-07,43.0,US,mobile_ios,direct,100k_150k,50.56,10.059,1,card,0,0,UTC+08:00,3.10.2,3,1,0.65,44
161,2024-06-20,,US,web_desktop,direct,<40k,66.03,6.459,1,card,0,0,UTC+01:00,3.10.0,1,1,0.95,24
162,2025-07-12,25.0,BR,web_desktop,direct,<40k,57.15,5.331,1,apple_pay,0,1,UTC+05:30,3.11.1,10,0,0.62,79
163,2024-11-25,34.0,US,mobile_ios,affiliate,70k_100k,56.97,22.957,1,paypal,1,0,UTC-05:00,3.10.2,16,0,0.79,47
164,2024-06-05,16.0,BR,web_mobile,direct,100k_150k,26.76,6.738,1,paypal,1,0,UTC-08:00,3.9.1,21,1,0.36,22
165,2025-03-31,40.0,NG,web_mobile,email,,66.93,16.047,1,card,0,0,UTC+05:30,4.0.0-beta,22,1,0.99,65
166,2025-09-12,25.0,IN,web_desktop,paid_social,100k_150k,51.02,11.564,1,bank_debit,0,0,UTC+08:00,3.10.0,4,0,0.89,88
167,2024-12-29,48.0,US,web_desktop,paid_social,100k_150k,25.8,3.99,1,card,1,0,UTC+05:30,3.11.1,19,1,0.97,51
168,2025-12-22,37.0,NG,mobile_android,organic_search,<40k,45.92,7.585,1,card,0,0,UTC+08:00,3.10.2,15,0,0.4,103
169,2024-09-17,25.0,PH,mobile_android,direct,40k_70k,48.59,8.96,1,card,0,0,UTC+00:00,3.10.2,22,1,0.93,37
170,2024-12-04,32.0,US,mobile_android,referral,150k_plus,31.17,5.635,1,card,0,0,UTC+00:00,3.11.1,15,1,0.78,48
171,2024-11-05,,IN,mobile_ios,direct,100k_150k,41.37,9.291,1,bank_debit,1,0,UTC+08:00,3.11.0,19,1,0.83,44
172,2025-12-25,32.0,US,tablet,email,150k_plus,53.16,11.585,1,bank_debit,0,0,UTC+01:00,3.9.1,4,1,0.91,103
173,2025-06-10,32.0,US,mobile_android,organic_search,150k_plus,47.22,10.325,1,apple_pay,0,0,UTC-05:00,3.10.0,22,1,0.73,75
174,2025-02-25,20.0,US,mobile_android,direct,unknown,7.82,4.314,1,apple_pay,0,0,UTC-08:00,3.10.2,0,0,0.43,60
175,2024-09-23,29.0,IN,mobile_ios,direct,70k_100k,49.91,7.433,1,card,0,0,UTC-05:00,3.11.0,3,0,0.49,38
176,2024-02-13,31.0,IN,mobile_android,paid_social,100k_150k,23.45,14.22,1,card,0,0,UTC-08:00,3.10.2,2,1,0.52,6
177,2025-10-20,16.0,SG,mobile_ios,direct,70k_100k,26.89,6.329,1,card,0,0,UTC+08:00,3.10.2,10,1,0.87,94
178,2024-03-21,41.0,GB,web_desktop,referral,<40k,64.24,9.141,1,card,0,0,UTC-08:00,3.11.0,20,0,0.6,11
179,2025-06-14,16.0,CA,web_desktop,email,70k_100k,56.16,6.395,1,google_pay,0,0,UTC-08:00,3.9.1,23,1,0.85,75
180,2025-01-09,31.0,CA,web_desktop,direct,40k_70k,59.79,8.796,1,bank_debit,0,0,UTC+05:30,3.10.2,5,1,0.66,53
181,2025-05-25,25.0,US,web_desktop,direct,70k_100k,36.14,4.95,1,paypal,1,0,UTC+08:00,3.10.2,8,1,0.91,72
182,2025-11-03,20.0,US,web_mobile,email,100k_150k,65.59,5.596,1,card,0,0,UTC-08:00,4.0.0-beta,1,1,0.99,96
183,2024-05-22,,SG,mobile_ios,referral,<40k,61.36,18.709,1,google_pay,0,0,UTC-05:00,3.11.0,23,1,1.0,20
184,2024-03-12,24.0,US,mobile_android,organic_search,40k_70k,38.18,9.897,1,apple_pay,1,0,UTC-05:00,3.10.0,9,1,0.57,10
185,2024-09-27,37.0,PH,web_desktop,referral,<40k,26.25,24.976,1,card,1,0,UTC+00:00,4.0.0-beta,0,1,0.41,38
186,2025-02-21,16.0,US,tablet,organic_search,,23.86,21.385,1,paypal,0,0,UTC-08:00,3.9.0,12,1,0.81,59
187,2024-02-18,18.0,IN,mobile_android,organic_search,<40k,61.03,10.649,0,card,0,0,UTC-08:00,3.10.2,7,0,0.57,6
188,2025-08-15,28.0,IN,mobile_ios,affiliate,40k_70k,40.47,8.014,1,card,0,0,UTC-08:00,3.11.0,18,0,0.68,84
189,2025-03-18,16.0,CA,mobile_ios,organic_search,100k_150k,89.16,7.926,1,card,0,0,UTC+08:00,3.10.2,8,1,0.99,63
190,2025-12-18,25.0,BR,tablet,email,<40k,66.63,4.476,1,apple_pay,0,0,UTC+05:30,3.11.1,18,1,0.43,102
