subscription_id,user_id,experiment_id,subscription_start_date,subscription_end_date,months_active,monthly_price_paid,churned,churn_reason,refund_flag,billing_failures,billing_anomaly_flag,total_revenue,lifetime_value,plan_tier,currency,last_renewal_outcome
101,617,1,2024-03-03,2024-06-01,3,9.82,1,price_too_high,0,0,0,24.39,24.15,standard,USD,success
102,620,1,2025-10-24,2029-06-05,44,13.14,1,price_too_high,0,0,0,574.33,497.4,standard,USD,success
103,626,1,2024-03-20,2028-06-27,52,10.05,1,billing_issue,0,1,0,520.24,438.93,family,USD,success
104,629,1,2024-03-09,2024-05-08,2,13.02,1,competing_service,1,0,0,9.39,9.33,standard,USD,success
105,631,1,2024-10-19,2026-02-11,16,9.91,1,,0,0,0,156.45,148.48,standard,USD,failed_then_recovered
106,638,1,2024-07-09,2026-04-30,22,11.79,1,did_not_use_enough,0,0,0,256.58,238.78,standard,EUR,success
107,640,1,2025-10-20,,60,10.01,0,,1,0,0,591.47,486.14,standard,USD,success
108,648,1,2024-09-20,2024-12-19,3,10.19,1,did_not_use_enough,0,1,0,27.72,27.45,standard,USD,success
109,660,1,2025-03-08,2025-10-04,7,13.1,1,did_not_use_enough,0,0,0,97.51,95.31,standard,USD,success
110,667,1,2025-12-05,2026-01-04,1,12.96,1,competing_service,0,1,0,12.16,12.12,standard,USD,failed_then_recovered
111,674,1,2024-09-14,2028-02-26,42,9.89,1,price_too_high,0,1,0,417.99,364.37,standard,USD,success
112,675,1,2024-04-22,2024-07-21,3,10.07,1,life_event,0,0,0,30.27,29.97,standard,USD,success
113,689,1,2025-01-04,2029-06-12,54,13.0,1,did_not_use_enough,0,1,0,699.12,586.01,standard,USD,success
114,705,1,2025-09-04,2029-06-15,46,10.06,1,competing_service,0,0,0,460.09,395.86,standard,USD,success
115,710,1,2025-04-19,2027-05-09,25,11.84,1,price_too_high,0,0,0,292.43,269.48,standard,USD,success
116,711,1,2025-12-02,,60,11.76,0,,0,0,0,709.3,582.99,standard,USD,success
117,726,1,2024-07-01,,60,11.73,0,,0,1,0,705.87,580.17,family,USD,failed_then_recovered
118,728,1,2025-10-04,2026-08-30,11,10.05,1,,0,0,0,111.43,107.49,family,USD,success
119,735,1,2024-07-26,2024-10-24,3,12.77,1,life_event,0,0,0,35.7,35.35,family,USD,success
120,737,1,2025-07-20,,60,9.93,0,,0,0,0,595.61,489.55,family,USD,success
121,744,1,2025-03-11,2028-08-22,42,10.04,1,price_too_high,0,0,0,423.14,368.87,standard,USD,success
122,747,1,2024-06-11,2026-03-03,21,12.63,1,billing_issue,0,1,0,264.85,247.28,standard,USD,failed_then_recovered
123,749,1,2024-07-19,2025-02-14,7,10.14,1,,0,0,0,68.93,67.37,standard,EUR,success
124,750,1,2025-10-15,2026-04-13,6,11.93,1,unknown,0,0,0,72.51,71.1,family,USD,success
125,757,1,2025-03-09,2026-04-03,13,12.48,1,did_not_use_enough,0,0,0,163.99,157.17,standard,USD,success
126,758,1,2024-10-02,2025-12-26,15,11.61,1,competing_service,0,1,0,173.58,165.28,standard,USD,success
127,763,1,2024-09-24,2028-02-06,41,13.04,1,did_not_use_enough,0,0,0,533.87,466.92,standard,USD,success
128,764,1,2024-04-03,2026-09-20,30,11.8,1,did_not_use_enough,0,0,0,358.55,325.06,standard,EUR,success
129,771,1,2024-01-19,2024-04-18,3,11.65,1,billing_issue,0,1,0,35.73,35.39,standard,USD,success
130,786,1,2025-10-29,2026-08-25,10,13.04,1,billing_issue,0,0,0,125.62,121.58,standard,EUR,success
131,787,1,2025-12-15,2026-04-14,4,9.66,1,life_event,0,0,0,34.81,34.36,standard,USD,success
132,800,1,2025-06-15,,60,9.93,0,,0,1,0,597.46,491.07,standard,USD,success
133,801,1,2025-11-27,2026-08-24,9,11.6,1,did_not_use_enough,0,0,0,101.17,98.24,family,USD,success
134,809,1,2025-09-03,2026-06-30,10,13.14,1,billing_issue,0,0,0,127.6,123.49,standard,USD,success
135,814,1,2024-10-20,2025-11-14,13,9.87,1,,0,0,0,125.8,120.57,standard,USD,success
136,816,1,2024-07-09,2024-09-07,2,10.14,1,did_not_use_enough,0,0,0,20.89,20.75,standard,USD,success
137,837,1,2025-04-18,2025-06-17,2,11.75,1,did_not_use_enough,0,0,0,21.8,21.66,family,USD,failed
138,846,1,2025-10-14,2026-08-10,10,13.1,1,,0,0,0,131.21,126.99,standard,USD,success
139,847,1,2024-05-26,2024-10-23,5,12.64,1,life_event,0,1,0,60.57,59.59,standard,USD,success
140,860,1,2024-10-23,2024-11-22,1,12.96,1,life_event,1,0,0,-5.21,-5.19,standard,USD,success
141,864,1,2024-03-05,2024-12-30,10,12.95,1,,0,0,0,128.28,124.15,standard,USD,success
142,870,1,2025-04-26,2028-03-11,35,12.68,1,competing_service,1,0,0,429.45,383.03,standard,USD,success
143,876,1,2024-11-24,2025-03-24,4,12.02,1,,0,0,0,49.11,48.48,standard,USD,success
144,879,1,2024-02-12,2028-03-22,50,9.98,1,did_not_use_enough,0,0,0,502.76,426.97,student,USD,success
145,896,1,2024-07-06,2025-02-01,7,9.94,1,seasonal_pause,0,1,0,66.46,64.96,family,USD,success
146,897,1,2024-08-31,2024-11-29,3,9.88,1,did_not_use_enough,0,0,0,30.45,30.16,standard,USD,success
147,907,1,2024-02-19,2028-08-26,55,11.67,1,,0,0,0,635.03,530.55,student,USD,failed_then_recovered
148,910,1,2025-04-22,2027-09-09,29,9.77,1,life_event,0,1,0,284.23,258.53,standard,USD,success
149,911,1,2025-10-12,2025-11-11,1,11.77,1,competing_service,0,1,0,10.54,10.51,standard,USD,success
150,918,1,2024-06-18,2028-06-27,49,10.06,1,,0,0,0,486.46,414.47,family,USD,success
151,924,1,2025-06-11,,60,9.91,0,,0,0,0,594.3,488.47,standard,USD,success
152,931,1,2025-07-31,2025-10-29,3,13.23,1,billing_issue,0,0,0,35.07,34.73,standard,USD,success
153,938,1,2025-08-02,2026-09-26,14,9.99,1,did_not_use_enough,0,1,0,140.17,133.9,standard,USD,success
154,964,1,2024-09-06,2026-07-28,23,9.99,1,did_not_use_enough,0,1,0,229.2,212.6,standard,USD,success
155,965,1,2025-08-27,2025-10-26,2,11.54,1,life_event,0,0,0,20.75,20.61,standard,USD,success
156,967,1,2025-12-02,2027-12-22,25,12.01,1,competing_service,1,0,0,288.53,265.89,standard,USD,success
157,974,1,2024-11-29,,60,12.84,0,,0,1,0,771.27,633.93,standard,USD,success
158,978,1,2025-01-10,2025-05-10,4,11.75,1,billing_issue,1,0,0,34.42,33.97,standard,USD,success
159,983,1,2024-03-30,2025-08-22,17,9.88,1,,0,0,0,176.34,166.81,standard,USD,success
160,984,1,2025-01-19,2026-02-13,13,10.0,1,did_not_use_enough,0,0,0,126.69,121.42,standard,USD,success
161,990,1,2024-02-11,2024-08-09,6,11.92,1,billing_issue,0,0,0,72.92,71.51,standard,USD,success
162,1001,1,2024-07-12,2025-08-06,13,9.98,1,billing_issue,0,1,0,127.99,122.67,standard,EUR,success
163,1020,1,2025-08-15,2030-06-20,59,10.28,1,life_event,0,0,0,600.06,494.82,standard,EUR,success
164,1029,1,2025-08-22,2026-08-17,12,12.57,1,,0,0,0,149.14,143.4,standard,USD,success
165,1036,1,2025-10-04,,60,10.26,0,,0,1,0,614.67,505.21,standard,USD,success
166,1040,1,2024-04-09,2028-06-17,51,9.99,1,,0,1,0,512.86,434.12,standard,EUR,success
167,1063,1,2025-08-01,2026-07-27,12,12.8,1,price_too_high,0,0,0,151.12,145.3,standard,USD,success
168,1065,1,2025-06-22,2027-04-13,22,9.97,1,billing_issue,1,0,0,208.67,194.19,standard,USD,failed
169,1074,1,2025-02-06,2027-03-28,26,12.89,1,billing_issue,0,0,0,332.16,305.1,standard,USD,success
170,1075,1,2024-04-06,2027-12-17,45,11.65,1,price_too_high,0,1,0,530.44,457.89,standard,USD,success
171,1082,1,2024-08-14,,60,9.85,0,,0,0,0,590.84,485.63,standard,USD,failed_then_recovered
172,1094,1,2025-10-17,2028-10-31,37,12.79,1,billing_issue,0,0,0,473.7,419.74,standard,USD,success
173,1098,1,2025-10-30,,60,9.97,0,,0,0,0,598.01,491.52,standard,USD,failed
174,1110,1,2025-11-08,2025-12-08,1,10.13,1,,1,1,0,2.63,2.62,student,EUR,success
175,1114,1,2024-02-03,,60,12.52,0,,0,0,0,748.65,615.34,family,USD,success
176,1122,1,2024-07-25,2027-12-07,41,12.77,1,did_not_use_enough,0,0,0,524.72,458.91,standard,USD,success
177,1139,1,2025-01-30,2026-06-24,17,11.68,1,,0,0,0,202.3,191.37,standard,USD,success
178,1148,1,2025-04-26,,60,11.41,0,,0,0,0,684.37,562.51,standard,USD,success
179,1155,1,2025-04-19,,60,11.78,0,,0,0,0,704.9,579.38,family,EUR,failed
180,1156,1,2025-04-02,2028-11-12,44,11.65,1,life_event,1,0,0,493.56,427.45,family,EUR,success
181,1165,1,2024-12-07,2028-09-17,46,11.97,1,billing_issue,0,0,0,552.7,475.55,standard,USD,failed_then_recovered
182,1166,1,2024-11-03,2026-01-27,15,10.01,1,price_too_high,1,0,0,137.25,130.69,standard,USD,success
183,1183,1,2024-03-24,2024-07-22,4,9.9,1,did_not_use_enough,0,0,0,34.02,33.57,standard,USD,failed_then_recovered
184,1185,1,2024-01-19,2026-07-07,30,11.77,1,did_not_use_enough,0,0,0,354.1,321.03,standard,USD,failed
185,1193,1,2024-04-11,2025-06-05,14,13.02,1,did_not_use_enough,0,0,0,181.63,173.51,standard,USD,success
186,1196,1,2025-07-11,2026-02-06,7,11.76,1,competing_service,0,0,0,83.63,81.73,standard,USD,success
187,1199,1,2024-07-10,2026-08-29,26,10.12,1,billing_issue,0,0,0,267.43,245.65,standard,EUR,success
188,1215,1,2024-06-27,2029-04-02,58,13.25,1,price_too_high,0,0,0,770.67,637.59,family,USD,success
189,1216,1,2025-04-06,2027-07-25,28,13.06,1,competing_service,0,0,0,362.22,330.55,standard,USD,failed_then_recovered
190,1223,1,2024-03-09,2028-04-17,50,9.82,1,price_too_high,0,0,0,494.38,419.84,standard,USD,success
191,1230,1,2024-08-02,2025-03-30,8,12.87,1,,0,0,0,105.11,102.4,standard,USD,success
192,1232,1,2024-08-06,2026-02-27,19,11.81,1,did_not_use_enough,0,0,0,222.81,209.4,family,USD,success
193,1245,1,2024-01-26,2024-10-22,9,10.18,1,competing_service,0,0,0,92.45,89.77,standard,USD,success
194,1254,1,2025-05-03,,60,10.16,0,,0,0,0,608.19,499.89,standard,USD,success
195,1256,1,2025-05-11,2026-02-05,9,12.66,1,life_event,0,0,0,115.44,112.1,standard,USD,success
196,1262,1,2024-06-01,,60,11.81,0,,0,0,0,710.9,584.31,standard,USD,success
197,1268,1,2025-11-14,2028-05-02,30,9.8,1,price_too_high,0,1,0,295.1,267.54,standard,USD,success
198,1270,1,2024-11-27,2028-11-06,48,9.87,1,did_not_use_enough,0,0,0,476.47,407.29,standard,USD,success
199,1274,1,2025-12-20,2026-09-16,9,9.91,1,billing_issue,0,0,0,91.6,88.94,standard,USD,success
200,1276,1,2024-11-08,2027-05-27,31,11.74,1,price_too_high,0,0,0,364.33,329.22,standard,USD,success
201,1287,1,2025-06-27,2025-11-24,5,11.7,1,competing_service,0,0,0,60.54,59.56,family,EUR,success
202,1293,1,2024-04-28,2025-02-22,10,9.91,1,price_too_high,0,0,0,100.5,97.27,standard,USD,success
203,1297,1,2025-12-01,,60,9.67,0,,0,0,0,578.6,475.57,standard,EUR,success
204,1324,1,2024-12-29,2025-04-28,4,10.08,1,did_not_use_enough,0,0,0,42.16,41.61,standard,EUR,success
205,1327,1,2025-10-04,2027-11-23,26,12.69,1,life_event,0,0,0,332.13,305.07,standard,USD,success
206,1332,1,2025-04-08,,60,11.8,0,,0,0,0,708.58,582.4,standard,USD,success
207,1341,1,2024-07-22,2027-01-08,30,11.62,1,,0,0,0,351.2,318.4,standard,USD,success
208,1342,1,2025-04-09,2025-07-08,3,9.85,1,billing_issue,0,0,0,31.8,31.49,standard,USD,success
209,1348,1,2024-01-27,2025-12-17,23,12.59,1,did_not_use_enough,0,0,0,287.45,266.64,standard,USD,success
210,1353,1,2025-06-05,2026-05-01,11,12.58,1,price_too_high,0,1,0,137.37,132.52,standard,USD,success
211,1354,1,2025-10-11,2026-02-08,4,9.9,1,did_not_use_enough,0,2,0,37.94,37.45,standard,USD,success
212,1359,1,2025-05-24,2025-07-23,2,11.63,1,billing_issue,1,0,0,12.1,12.02,standard,USD,success
213,1368,1,2025-08-28,2026-02-24,6,10.05,1,,0,0,0,61.7,60.5,standard,USD,success
214,1375,1,2024-10-11,,60,12.87,0,,0,0,0,775.5,637.4,standard,USD,success
215,1387,1,2024-01-23,2024-12-18,11,10.05,1,did_not_use_enough,0,0,0,116.11,112.01,family,USD,success
216,1396,1,2024-09-04,2025-08-30,12,13.08,1,,0,0,0,162.71,156.45,standard,USD,failed
217,1397,1,2024-11-22,2025-07-20,8,12.01,1,,0,0,0,95.45,92.98,standard,USD,success
218,1413,1,2025-06-15,,60,12.06,0,,0,0,0,730.33,600.28,standard,USD,success
219,1419,1,2025-08-25,2025-09-24,1,11.8,1,did_not_use_enough,0,0,0,10.48,10.44,standard,EUR,failed_then_recovered
220,1421,1,2025-09-15,2026-02-12,5,13.0,1,price_too_high,0,1,0,64.84,63.79,standard,USD,success
221,1422,1,2024-08-30,2024-10-29,2,12.82,1,did_not_use_enough,0,0,0,23.74,23.59,family,USD,success
222,1424,1,2024-06-14,,60,9.76,0,,0,1,0,587.16,482.61,standard,USD,success
223,1427,1,2025-12-12,,60,12.68,0,,0,0,0,758.57,623.49,standard,USD,success
224,1431,1,2024-08-15,2026-08-05,24,11.7,1,billing_issue,0,0,0,282.26,260.97,standard,EUR,success
225,1438,1,2024-02-25,,60,11.55,0,,0,0,0,694.19,570.57,family,USD,success
226,1440,1,2024-04-02,,60,10.19,0,,0,2,0,612.69,503.59,standard,EUR,success
227,1444,1,2025-05-20,2029-11-25,55,13.22,1,,0,0,0,725.77,606.36,standard,USD,success
228,1445,1,2024-06-13,2025-06-08,12,10.09,1,,0,0,0,123.11,118.38,standard,USD,failed_then_recovered
229,1447,1,2024-09-17,,60,13.32,0,,0,0,0,798.19,656.05,family,USD,success
230,1451,1,2024-04-27,2024-07-26,3,10.05,1,did_not_use_enough,0,0,0,27.78,27.51,standard,USD,success
231,1455,1,2025-05-27,2026-09-19,16,9.96,1,competing_service,0,1,0,164.32,155.94,standard,USD,success
232,1459,1,2024-04-11,2027-03-27,36,9.88,1,,1,0,0,342.0,304.04,standard,USD,success
233,1462,1,2024-07-12,2025-01-08,6,9.85,1,seasonal_pause,0,0,0,61.43,60.24,student,USD,success
234,1481,1,2024-11-17,2027-11-02,36,11.75,1,price_too_high,0,0,0,431.11,383.25,standard,USD,success
235,1485,1,2025-07-14,2029-08-22,50,11.46,1,price_too_high,0,0,0,573.93,487.4,family,USD,success
236,1486,1,2024-07-02,2024-08-31,2,9.95,1,life_event,0,0,0,23.91,23.75,family,USD,success
237,1494,1,2024-09-03,2028-12-11,52,11.73,1,,0,0,0,608.87,513.71,standard,USD,success
238,1496,1,2024-11-24,2028-01-08,38,11.8,1,,0,0,0,447.63,395.35,standard,USD,success
239,1497,1,2025-12-10,2029-11-19,48,12.62,1,seasonal_pause,0,0,0,609.81,521.27,standard,USD,success
240,1500,1,2024-01-30,2024-03-30,2,10.04,1,competing_service,0,0,0,16.05,15.94,family,USD,success
241,1514,1,2025-08-02,2026-06-28,11,12.58,1,,0,0,0,137.72,132.86,standard,USD,success
242,1542,1,2025-02-21,2026-03-18,13,11.54,1,,0,0,0,148.37,142.2,standard,USD,failed
243,1562,1,2024-02-25,2024-03-26,1,9.74,1,life_event,0,0,0,5.81,5.79,standard,USD,success
244,1570,1,2024-12-26,2028-11-05,47,9.99,1,did_not_use_enough,0,0,0,467.25,400.71,standard,USD,success
245,1575,1,2025-10-29,2027-01-22,15,12.95,1,,0,0,0,193.48,184.22,standard,USD,success
246,1581,1,2024-04-18,2025-08-11,16,12.88,1,life_event,0,0,0,202.42,192.1,standard,USD,success
247,1587,1,2024-09-15,2026-10-05,25,9.98,1,did_not_use_enough,0,0,0,251.55,231.81,standard,USD,success
248,1593,1,2025-05-04,2026-05-29,13,9.94,1,price_too_high,0,0,0,128.47,123.13,standard,USD,success
249,1595,1,2024-12-17,2026-06-10,18,10.09,1,unknown,0,0,0,181.06,170.72,standard,USD,failed
250,1598,1,2025-04-25,2026-02-19,10,12.58,1,did_not_use_enough,0,0,0,121.07,117.18,standard,USD,success
251,1607,1,2024-04-24,,60,10.03,0,,0,0,0,602.9,495.54,standard,USD,success
252,1609,1,2024-08-07,2025-12-30,17,9.98,1,,0,0,0,168.74,159.62,standard,USD,success
