experiment_row_id,experiment_id,user_id,treatment_group,assigned_price,discount_pct,experiment_date,viewed_pricing_page,clicked_subscribe,subscribed,time_on_pricing_page_sec,pricing_page_scroll_depth_pct,hesitate_event_count,paywall_modal_shown,experiment_assignment_delay_sec
25,1,25,variant_high,14.99,15.0,2024-10-03,0,0,0,1470.83,9.7,4,0,39
26,1,26,control,9.99,0.0,2025-03-04,0,0,0,195.01,8.5,3,1,32
27,1,27,variant_mid,12.99,10.0,2025-10-26,0,0,0,160.26,0.0,2,1,42
28,1,28,control,9.99,0.0,2024-09-21,0,0,0,69.52,0.0,0,0,81
29,1,29,variant_mid,12.99,10.0,2025-03-14,0,0,0,146.63,10.9,2,1,59
30,1,30,variant_high,14.99,15.0,2024-05-27,0,0,0,27.07,27.2,3,0,74
31,1,31,variant_mid,12.99,10.0,2024-03-17,1,0,0,53.21,48.5,2,0,56
32,1,32,variant_mid,12.99,10.0,2025-03-30,1,0,0,242.58,74.6,4,0,34
33,1,33,variant_mid,12.99,10.0,2024-06-22,0,0,0,264.06,23.9,6,1,61
34,1,34,control,9.99,0.0,2024-02-17,0,0,0,125.19,0.1,5,0,23
35,1,35,variant_mid,12.99,10.0,2024-01-15,1,1,1,19.03,86.8,2,1,40
36,1,36,variant_high,14.99,15.0,2024-10-04,0,0,0,39.17,8.5,6,1,60
37,1,37,variant_high,14.99,15.0,2024-07-14,0,0,0,260.71,14.2,4,1,80
38,1,38,control,9.99,0.0,2025-12-23,0,0,0,81.66,5.6,1,0,67
39,1,39,variant_high,14.99,15.0,2024-12-16,1,1,1,353.98,78.5,2,1,11
40,1,40,variant_high,14.99,15.0,2024-12-17,1,0,0,46.45,70.8,7,1,20
41,1,41,variant_high,14.99,15.0,2024-05-02,1,1,1,31.27,36.6,3,1,70
42,1,42,variant_high,14.99,15.0,2024-03-25,1,0,0,22.53,46.7,3,1,52
43,1,43,variant_high,14.99,15.0,2024-08-14,1,1,0,314.52,77.2,4,0,14
44,1,44,control,9.99,0.0,2025-09-10,0,0,0,341.64,0.0,6,1,70
45,1,45,variant_mid,12.99,10.0,2025-04-02,0,0,0,22.98,21.4,7,1,17
46,1,46,variant_high,14.99,15.0,2024-05-12,0,0,0,70.57,0.0,3,1,39
47,1,47,variant_mid,12.99,10.0,2024-02-02,0,0,0,94.13,0.0,3,1,19
48,1,48,variant_high,14.99,15.0,2024-07-02,1,1,1,45.03,41.5,3,0,23
49,1,49,variant_mid,12.99,10.0,2024-07-29,1,0,0,287.28,53.4,2,1,49
50,1,50,control,9.99,0.0,2025-12-03,1,1,1,686.62,72.4,3,1,34
51,1,51,variant_high,14.99,15.0,2024-05-24,1,1,1,81.59,43.5,4,1,51
52,1,52,variant_mid,12.99,10.0,2025-07-30,1,1,1,394.97,58.4,4,1,48
53,1,53,variant_mid,12.99,10.0,2024-10-15,1,0,0,65.26,78.8,5,1,43
54,1,54,control,9.99,0.0,2024-08-23,0,0,0,175.47,0.0,3,1,16
55,1,55,variant_high,14.99,15.0,2024-06-08,0,0,0,330.01,0.0,2,1,4
56,1,56,control,9.99,0.0,2025-04-25,0,0,0,771.01,0.0,1,0,57
57,1,57,variant_high,14.99,15.0,2025-05-26,1,0,0,150.26,79.7,0,1,55
58,1,58,control,9.99,0.0,2025-01-03,0,0,0,148.24,0.0,1,0,28
59,1,59,variant_high,14.99,15.0,2025-12-04,1,1,1,267.12,67.6,4,1,21
60,1,60,variant_mid,12.99,10.0,2025-10-16,0,0,0,298.84,0.0,1,1,18
61,1,61,variant_high,14.99,15.0,2025-08-13,0,0,0,33.26,5.2,6,1,45
62,1,62,variant_mid,12.99,10.0,2025-02-20,0,0,0,271.78,0.0,3,1,65
63,1,63,control,9.99,0.0,2025-01-21,0,0,0,112.03,14.0,1,1,29
64,1,64,control,9.99,0.0,2025-05-05,0,0,0,189.83,17.8,0,1,85
65,1,65,variant_high,14.99,15.0,2025-03-11,0,0,0,15.12,0.0,1,1,14
66,1,66,variant_mid,12.99,10.0,2024-04-18,0,0,0,55.76,35.2,2,1,76
67,1,67,variant_mid,12.99,10.0,2025-05-08,1,1,1,285.6,60.2,6,0,31
68,1,68,control,9.99,0.0,2024-07-11,1,1,0,46.43,90.9,6,1,53
69,1,69,variant_high,14.99,15.0,2025-06-28,1,0,0,1083.06,43.7,3,1,62
70,1,70,variant_mid,12.99,10.0,2024-02-01,1,1,0,71.69,69.2,3,1,69
71,1,71,variant_high,14.99,15.0,2024-02-26,0,0,0,46.31,22.0,1,1,64
72,1,72,variant_mid,12.99,10.0,2025-03-20,0,0,0,110.92,0.0,2,1,76
73,1,73,variant_mid,12.99,10.0,2025-08-10,1,0,0,184.02,89.6,4,0,55
74,1,74,variant_mid,12.99,10.0,2025-02-15,0,0,0,270.31,0.0,1,0,44
75,1,75,control,9.99,0.0,2024-05-21,0,0,0,97.72,0.0,2,1,22
76,1,76,variant_high,14.99,15.0,2024-08-31,1,1,0,52.2,28.8,3,1,81
77,1,77,variant_mid,12.99,10.0,2024-12-02,0,0,0,731.15,33.6,5,0,9
78,1,78,variant_mid,12.99,10.0,2024-07-08,1,1,1,41.95,77.5,4,1,38
79,1,79,variant_mid,12.99,10.0,2025-12-18,1,0,0,350.11,71.9,3,1,14
80,1,80,variant_mid,12.99,10.0,2024-11-28,1,1,1,41.16,77.4,3,1,45
81,1,81,variant_high,14.99,15.0,2025-10-31,1,0,0,77.13,59.1,2,1,15
82,1,82,variant_high,14.99,15.0,2024-04-04,0,0,0,36.77,2.5,0,1,69
83,1,83,variant_high,14.99,15.0,2024-12-24,1,1,0,24.12,69.3,5,1,39
84,1,84,control,9.99,0.0,2025-09-17,0,0,0,112.48,18.0,2,1,19
85,1,85,variant_high,14.99,15.0,2024-08-07,1,1,1,92.57,89.4,5,1,46
86,1,86,variant_high,14.99,15.0,2025-09-15,1,0,0,404.65,63.0,0,0,5
87,1,87,variant_high,14.99,15.0,2025-07-18,0,0,0,110.05,17.8,3,0,7
88,1,88,control,9.99,0.0,2025-03-14,1,0,0,500.0,61.8,2,1,18
89,1,89,variant_mid,12.99,10.0,2024-02-09,0,0,0,235.71,0.0,2,1,45
90,1,90,variant_high,14.99,15.0,2025-11-06,0,0,0,298.19,8.7,4,1,23
91,1,91,variant_high,14.99,15.0,2024-12-25,0,0,0,556.0,0.0,5,1,33
92,1,92,control,9.99,0.0,2025-04-05,1,1,1,44.95,71.4,2,1,77
93,1,93,variant_high,14.99,15.0,2025-05-30,1,1,1,18.2,72.7,1,1,9
94,1,94,variant_high,14.99,15.0,2024-12-27,0,0,0,99.73,14.0,2,1,4
95,1,95,variant_high,14.99,15.0,2024-04-27,0,0,0,15.74,0.0,4,1,14
96,1,96,variant_mid,12.99,10.0,2025-03-22,0,0,0,94.23,0.0,1,0,81
97,1,97,variant_mid,12.99,10.0,2025-03-26,1,1,1,23.97,50.7,1,0,88
98,1,98,variant_high,14.99,15.0,2024-03-04,1,1,0,213.33,64.5,2,1,64
99,1,99,variant_mid,12.99,10.0,2024-05-29,1,0,0,337.47,53.3,2,1,72
100,1,100,variant_high,14.99,15.0,2024-06-11,0,0,0,536.74,4.0,2,1,1
101,1,101,control,9.99,0.0,2024-09-29,1,0,0,133.28,81.5,0,1,56
102,1,102,control,9.99,0.0,2025-02-25,1,1,0,1184.35,74.8,1,1,51
103,1,103,variant_high,14.99,15.0,2025-04-12,1,1,1,55.47,17.7,1,1,56
104,1,104,control,9.99,0.0,2024-03-23,1,0,0,117.64,81.7,2,1,68
105,1,105,control,9.99,0.0,2025-09-25,1,0,0,103.59,43.6,2,0,14
106,1,106,variant_high,14.99,15.0,2025-09-02,1,0,0,489.45,58.1,7,0,54
107,1,107,variant_high,14.99,15.0,2024-03-22,0,0,0,42.51,10.6,6,1,31
108,1,108,variant_high,14.99,15.0,2024-05-08,1,1,1,21.72,59.6,4,1,43
109,1,109,variant_mid,12.99,10.0,2025-09-05,0,0,0,45.43,15.7,6,0,58
110,1,110,variant_mid,12.99,10.0,2024-11-19,1,1,0,34.73,75.8,2,0,4
111,1,111,control,9.99,0.0,2024-12-08,0,0,0,189.66,0.0,2,1,1
112,1,112,control,9.99,0.0,2025-01-07,0,0,0,56.91,30.8,3,1,87
113,1,113,control,9.99,0.0,2026-01-07,0,0,0,107.09,1.5,3,1,60
114,1,114,variant_mid,12.99,10.0,2024-05-09,1,0,0,43.48,51.9,2,0,17
115,1,115,variant_mid,12.99,10.0,2025-12-04,1,0,0,20.02,71.3,3,0,73
116,1,116,control,9.99,0.0,2024-07-02,0,0,0,53.5,0.0,4,0,9
117,1,117,variant_high,14.99,15.0,2025-10-20,1,0,0,1158.76,56.1,1,1,51
118,1,118,variant_high,14.99,15.0,2024-12-28,0,0,0,22.12,32.8,0,1,65
119,1,119,control,9.99,0.0,2025-07-17,1,1,1,121.05,57.1,2,1,36
120,1,120,variant_high,14.99,15.0,2024-03-22,1,1,0,148.51,71.4,3,1,36
121,1,121,variant_mid,12.99,10.0,2024-09-24,0,0,0,72.74,19.7,3,1,6
122,1,122,variant_mid,12.99,10.0,2024-05-21,0,0,0,74.19,21.3,4,1,77
123,1,123,variant_mid,12.99,10.0,2025-03-01,1,1,1,142.76,100.0,5,1,49
124,1,124,variant_high,14.99,15.0,2024-01-28,1,1,1,91.18,47.8,4,1,19
125,1,125,control,9.99,0.0,2024-10-07,1,1,1,44.3,69.3,0,1,29
126,1,126,variant_mid,12.99,10.0,2025-01-11,0,0,0,151.87,1.8,4,1,34
127,1,127,control,9.99,0.0,2024-12-31,1,1,1,98.01,83.9,1,1,42
128,1,128,control,9.99,0.0,2025-09-12,1,1,1,52.48,54.3,3,1,86
129,1,129,variant_mid,12.99,10.0,2025-04-01,1,0,0,148.65,84.6,2,0,58
130,1,130,control,9.99,0.0,2025-09-03,1,0,0,218.29,72.4,2,1,8
131,1,131,variant_high,14.99,15.0,2025-01-17,1,1,0,51.15,91.7,5,1,46
132,1,132,variant_mid,12.99,10.0,2024-09-27,0,0,0,11.37,14.7,1,0,29
133,1,133,control,9.99,0.0,2024-08-20,0,0,0,112.16,27.9,2,1,43
134,1,134,variant_high,14.99,15.0,2025-05-23,1,1,0,60.85,84.5,2,1,22
135,1,135,variant_mid,12.99,10.0,2025-11-07,0,0,0,222.67,9.0,5,0,27
136,1,136,variant_high,14.99,15.0,2026-01-03,0,0,0,32.74,0.0,3,1,43
137,1,137,control,9.99,0.0,2024-06-24,1,1,1,133.92,84.5,2,1,19
138,1,138,control,9.99,0.0,2024-11-08,1,1,1,149.85,61.2,2,1,58
139,1,139,variant_high,14.99,15.0,2025-04-08,0,0,0,73.05,5.3,5,1,16
140,1,140,variant_high,14.99,15.0,2025-11-11,1,0,0,262.63,37.2,4,1,87
141,1,141,variant_mid,12.99,10.0,2024-08-26,0,0,0,198.61,0.0,1,1,80
142,1,142,control,9.99,0.0,2025-08-04,0,0,0,1291.17,14.1,1,1,64
143,1,143,variant_high,14.99,15.0,2025-09-23,0,0,0,96.73,28.8,2,1,84
144,1,144,control,9.99,0.0,2024-05-11,0,0,0,72.61,0.0,0,0,55
145,1,145,variant_high,14.99,15.0,2024-08-24,0,0,0,75.38,2.4,3,1,20
146,1,146,control,9.99,0.0,2024-12-02,1,1,1,499.8,100.0,1,1,89
147,1,147,control,9.99,0.0,2025-09-15,0,0,0,69.53,15.8,4,0,68
148,1,148,control,9.99,0.0,2025-11-15,1,0,0,52.06,49.1,0,0,37
149,1,149,control,9.99,0.0,2024-05-09,0,0,0,18.98,22.6,2,0,66
150,1,150,variant_high,14.99,15.0,2024-05-07,0,0,0,515.73,0.0,1,1,81
151,1,151,variant_mid,12.99,10.0,2024-10-18,1,1,0,56.65,63.8,3,0,69
152,1,152,control,9.99,0.0,2024-03-01,0,0,0,259.81,8.7,4,1,10
153,1,153,control,9.99,0.0,2025-01-27,1,1,1,215.84,79.7,0,1,12
154,1,154,control,9.99,0.0,2024-08-02,1,0,0,25.02,73.4,3,1,32
155,1,155,variant_mid,12.99,10.0,2024-10-27,1,0,0,144.91,69.7,4,1,45
156,1,156,variant_mid,12.99,10.0,2024-01-15,0,0,0,147.41,6.2,0,1,76
157,1,157,control,9.99,0.0,2024-06-21,1,0,0,24.48,30.9,0,1,73
158,1,158,variant_high,14.99,15.0,2024-04-21,0,0,0,30.56,0.0,2,1,68
159,1,159,variant_mid,12.99,10.0,2024-06-13,1,1,0,29.62,76.1,4,1,83
160,1,160,variant_high,14.99,15.0,2024-11-08,1,0,0,34.33,46.7,8,1,43
161,1,161,variant_mid,12.99,10.0,2024-07-03,1,1,1,7.71,82.0,3,1,22
162,1,162,control,9.99,0.0,2025-07-22,0,0,0,133.53,0.0,2,1,55
163,1,163,control,9.99,0.0,2024-11-30,1,1,1,168.76,54.5,1,1,45
164,1,164,variant_high,14.99,15.0,2024-06-11,0,0,0,155.44,0.0,2,1,77
165,1,165,control,9.99,0.0,2025-04-07,0,0,0,273.61,0.0,0,1,52
166,1,166,variant_mid,12.99,10.0,2025-09-24,1,1,1,138.94,46.7,3,1,17
167,1,167,variant_mid,12.99,10.0,2025-01-09,0,0,0,73.78,8.4,1,0,28
168,1,168,variant_mid,12.99,10.0,2025-12-29,1,1,0,5.95,50.9,2,1,65
169,1,169,variant_mid,12.99,10.0,2024-10-07,0,0,0,1138.27,0.0,3,0,2
170,1,170,variant_high,14.99,15.0,2024-12-12,0,0,0,62.49,0.0,2,1,51
171,1,171,control,9.99,0.0,2024-11-20,1,1,1,17.23,79.3,1,1,58
172,1,172,variant_high,14.99,15.0,2025-12-26,0,0,0,135.89,20.3,3,0,25
173,1,173,variant_high,14.99,15.0,2025-06-11,1,0,0,56.61,63.5,4,1,12
174,1,174,control,9.99,0.0,2025-02-27,1,0,0,199.25,99.6,2,1,58
175,1,175,control,9.99,0.0,2024-10-12,0,0,0,146.41,0.0,0,0,38
176,1,176,variant_high,14.99,15.0,2024-02-23,0,0,0,359.28,13.3,5,1,9
177,1,177,control,9.99,0.0,2025-11-03,0,0,0,62.06,5.8,5,1,0
178,1,178,variant_mid,12.99,10.0,2024-04-06,0,0,0,84.35,0.0,3,0,27
179,1,179,control,9.99,0.0,2025-06-18,0,0,0,51.83,16.3,3,0,68
180,1,180,variant_mid,12.99,10.0,2025-01-24,1,0,0,94.43,43.8,1,1,66
181,1,181,variant_high,14.99,15.0,2025-06-09,1,1,0,1154.07,65.2,2,0,74
182,1,182,variant_high,14.99,15.0,2025-11-08,1,1,1,140.82,66.6,4,1,89
183,1,183,variant_mid,12.99,10.0,2024-05-31,1,0,0,58.09,73.6,3,1,68
184,1,184,control,9.99,0.0,2024-03-30,0,0,0,23.92,0.0,0,1,51
185,1,185,variant_mid,12.99,10.0,2024-10-08,0,0,0,35.29,9.7,2,1,3
186,1,186,variant_mid,12.99,10.0,2025-03-03,0,0,0,74.73,56.6,2,1,70
187,1,187,variant_mid,12.99,10.0,2024-03-07,0,0,0,40.49,10.6,1,1,34
188,1,188,variant_mid,12.99,10.0,2025-09-02,1,1,0,47.87,93.7,1,0,66
189,1,189,variant_high,14.99,15.0,2025-04-07,1,0,0,88.76,84.5,4,0,89
190,1,190,control,9.99,0.0,2025-12-20,0,0,0,34.79,11.4,0,0,66
191,1,191,control,9.99,0.0,2024-08-07,0,0,0,53.98,0.6,2,1,36
192,1,192,variant_high,14.99,15.0,2025-10-28,1,1,0,419.05,59.6,2,1,1
193,1,193,variant_mid,12.99,10.0,2024-10-12,1,0,0,153.91,37.2,5,0,1
194,1,194,control,9.99,0.0,2024-03-28,0,0,0,143.09,45.3,2,1,6
195,1,195,variant_high,14.99,15.0,2025-09-21,0,0,0,19.98,0.0,4,1,3
196,1,196,variant_mid,12.99,10.0,2024-02-28,1,0,0,144.86,66.8,3,1,85
197,1,197,variant_mid,12.99,10.0,2025-06-22,1,1,0,88.12,93.1,2,1,83
198,1,198,variant_high,14.99,15.0,2024-06-10,0,0,0,146.06,0.9,3,0,22
199,1,199,variant_mid,12.99,10.0,2025-05-12,1,1,0,50.83,51.3,6,1,62
200,1,200,variant_mid,12.99,10.0,2024-08-12,1,0,0,205.52,69.2,3,1,9
201,1,201,control,9.99,0.0,2024-02-28,0,0,0,556.45,21.6,4,1,24
202,1,202,variant_mid,12.99,10.0,2025-10-02,0,0,0,41.79,44.4,4,1,87
203,1,203,variant_mid,12.99,10.0,2024-09-14,0,0,0,181.93,18.3,1,1,23
204,1,204,variant_high,14.99,15.0,2025-04-26,0,0,0,41.29,15.2,7,1,14
205,1,205,variant_mid,12.99,10.0,2024-02-03,1,0,0,101.51,75.7,4,0,29
206,1,206,control,9.99,0.0,2025-11-27,0,0,0,17.47,20.0,1,1,62
207,1,207,variant_high,14.99,15.0,2025-04-07,1,1,1,53.73,76.6,1,1,84
208,1,208,control,9.99,0.0,2024-11-19,1,1,0,189.25,67.5,1,1,38
209,1,209,variant_high,14.99,15.0,2025-11-03,1,1,1,282.82,98.5,6,1,76
210,1,210,variant_high,14.99,15.0,2024-10-29,1,0,0,555.97,90.3,3,1,80
211,1,211,variant_mid,12.99,10.0,2024-09-15,0,0,0,66.96,16.0,3,1,11
212,1,212,variant_mid,12.99,10.0,2024-08-01,1,1,1,138.3,97.8,2,1,66
213,1,213,control,9.99,0.0,2025-05-06,1,0,0,26.8,65.8,2,1,79
214,1,214,variant_mid,12.99,10.0,2024-12-03,0,0,0,155.98,23.3,3,1,48
215,1,215,control,9.99,0.0,2025-02-26,1,0,0,99.21,37.1,2,1,1
216,1,216,variant_mid,12.99,10.0,2025-08-11,1,0,0,176.0,59.3,1,1,68
217,1,217,control,9.99,0.0,2025-04-29,1,0,0,14.53,63.2,2,1,58
218,1,218,variant_mid,12.99,10.0,2025-06-09,1,1,1,34.08,54.7,2,1,24
219,1,219,control,9.99,0.0,2025-03-24,0,0,0,58.02,0.0,2,1,2
220,1,220,control,9.99,0.0,2025-08-13,1,0,0,107.47,92.9,0,1,22
221,1,221,variant_mid,12.99,10.0,2025-06-26,0,0,0,120.69,0.0,0,1,2
222,1,222,variant_high,14.99,15.0,2025-09-14,0,0,0,8.82,29.2,4,1,16
223,1,223,control,9.99,0.0,2025-04-13,1,0,0,528.91,42.9,3,1,0
224,1,224,variant_mid,12.99,10.0,2024-01-11,1,1,0,22.04,45.4,2,1,3
225,1,225,variant_high,14.99,15.0,2025-11-10,1,1,0,70.48,32.8,2,1,89
226,1,226,variant_mid,12.99,10.0,2024-07-08,1,0,0,159.69,69.3,1,1,68
227,1,227,variant_mid,12.99,10.0,2025-06-26,1,1,1,98.58,66.5,4,0,77
228,1,228,control,9.99,0.0,2025-05-07,0,0,0,230.59,29.2,5,1,62
229,1,229,control,9.99,0.0,2025-04-29,1,0,0,725.28,83.7,3,0,51
230,1,230,control,9.99,0.0,2024-11-22,0,0,0,54.27,0.0,2,1,82
231,1,231,variant_high,14.99,15.0,2024-12-12,1,0,0,40.14,51.7,1,1,22
232,1,232,control,9.99,0.0,2024-03-30,1,0,0,267.32,39.8,3,1,35
233,1,233,control,9.99,0.0,2024-07-10,1,0,0,67.52,52.9,3,1,21
234,1,234,control,9.99,0.0,2024-03-03,1,0,0,98.67,68.9,2,1,31
235,1,235,variant_high,14.99,15.0,2025-10-26,0,0,0,125.58,18.8,3,0,35
236,1,236,variant_mid,12.99,10.0,2025-12-05,1,0,0,57.53,51.8,4,1,73
237,1,237,variant_high,14.99,15.0,2024-04-05,1,0,0,39.73,57.7,2,1,4
238,1,238,variant_mid,12.99,10.0,2025-09-21,0,0,0,83.63,0.0,1,0,38
239,1,239,variant_high,14.99,15.0,2025-05-19,0,0,0,61.54,9.1,4,1,38
240,1,240,variant_high,14.99,15.0,2024-08-27,1,1,1,69.49,81.9,4,1,9
241,1,241,variant_mid,12.99,10.0,2024-05-07,1,0,0,297.21,69.8,4,0,52
242,1,242,variant_high,14.99,15.0,2025-04-24,1,0,0,62.19,52.5,4,1,60
243,1,243,variant_high,14.99,15.0,2024-01-24,0,0,0,22.57,20.7,3,1,31
244,1,244,control,9.99,0.0,2024-04-29,0,0,0,79.33,0.0,0,0,79
245,1,245,variant_mid,12.99,10.0,2024-03-21,0,0,0,44.18,16.3,1,1,72
246,1,246,variant_mid,12.99,10.0,2024-04-24,0,0,0,266.14,7.3,6,1,26
247,1,247,variant_high,14.99,15.0,2024-01-07,0,0,0,447.84,8.1,2,1,89
248,1,248,variant_high,14.99,15.0,2024-09-18,1,1,1,79.95,45.1,0,1,48
249,1,249,variant_high,14.99,15.0,2025-08-12,1,1,1,76.09,71.1,5,1,24
250,1,250,control,9.99,0.0,2024-08-06,1,0,0,124.75,29.2,3,1,69
251,1,251,variant_high,14.99,15.0,2024-07-14,1,0,0,121.53,37.7,4,1,18
252,1,252,control,9.99,0.0,2025-12-29,1,1,1,69.09,55.3,1,0,71
253,1,253,variant_mid,12.99,10.0,2025-01-05,0,0,0,102.69,20.0,2,1,15
254,1,254,control,9.99,0.0,2024-02-06,1,1,0,67.28,72.4,1,1,70
255,1,255,variant_high,14.99,15.0,2025-03-11,1,1,1,45.87,89.0,4,1,17
256,1,256,variant_high,14.99,15.0,2025-02-04,1,0,0,175.92,37.7,4,1,44
257,1,257,control,9.99,0.0,2024-11-07,0,0,0,91.15,42.2,1,1,79
258,1,258,variant_high,14.99,15.0,2025-09-16,1,1,1,113.67,55.7,5,0,8
259,1,259,variant_high,14.99,15.0,2025-05-31,1,0,0,43.99,64.1,1,0,74
260,1,260,control,9.99,0.0,2024-02-05,0,0,0,16.22,5.2,2,1,43
261,1,261,variant_mid,12.99,10.0,2024-10-03,1,1,1,54.66,86.2,1,0,54
262,1,262,control,9.99,0.0,2025-02-17,1,1,1,21.79,47.2,0,0,45
263,1,263,control,9.99,0.0,2025-05-12,0,0,0,43.65,18.2,2,1,32
264,1,264,variant_high,14.99,15.0,2024-10-14,1,0,0,193.4,59.6,3,1,51
265,1,265,control,9.99,0.0,2024-12-02,1,1,1,158.29,70.8,1,1,83
266,1,266,variant_mid,12.99,10.0,2024-06-07,0,0,0,307.52,37.0,4,1,78
267,1,267,control,9.99,0.0,2025-03-17,0,0,0,48.52,2.8,4,1,88
268,1,268,control,9.99,0.0,2024-06-26,1,0,0,133.35,72.4,2,1,67
269,1,269,variant_mid,12.99,10.0,2025-01-11,1,0,0,594.47,36.0,3,1,6
270,1,270,variant_mid,12.99,10.0,2025-08-22,1,0,0,118.42,65.7,2,1,14
271,1,271,variant_high,14.99,15.0,2025-11-15,1,0,0,159.66,67.1,4,0,6
272,1,272,control,9.99,0.0,2024-12-20,1,0,0,114.76,59.6,3,1,75
273,1,273,variant_mid,12.99,10.0,2024-06-13,0,0,0,37.64,0.0,2,1,48
274,1,274,variant_high,14.99,15.0,2024-02-12,1,0,0,142.65,57.0,4,1,13
275,1,275,variant_mid,12.99,10.0,2025-09-20,1,0,0,8.97,80.0,2,1,60
276,1,276,variant_high,14.99,15.0,2024-11-09,0,0,0,80.94,20.9,2,1,14
277,1,277,control,9.99,0.0,2024-05-30,0,0,0,166.14,0.0,2,0,35
278,1,278,variant_high,14.99,15.0,2025-09-08,0,0,0,80.76,23.0,2,1,14
279,1,279,variant_mid,12.99,10.0,2024-12-31,1,0,0,129.98,65.1,4,1,26
280,1,280,variant_high,14.99,15.0,2025-05-21,0,0,0,79.15,1.4,2,1,29
281,1,281,control,9.99,0.0,2024-02-16,0,0,0,258.55,4.1,0,1,59
282,1,282,control,9.99,0.0,2025-12-18,0,0,0,72.65,3.0,3,0,87
283,1,283,variant_mid,12.99,10.0,2024-08-20,0,0,0,5.03,14.5,3,1,85
284,1,284,variant_mid,12.99,10.0,2025-07-23,1,1,1,41.98,70.4,2,1,68
285,1,285,control,9.99,0.0,2024-08-11,0,0,0,92.56,0.0,2,1,74
286,1,286,control,9.99,0.0,2024-05-23,0,0,0,189.64,0.0,1,1,37
287,1,287,control,9.99,0.0,2024-10-28,1,0,0,14.87,62.0,0,1,88
288,1,288,control,9.99,0.0,2024-02-23,0,0,0,85.77,7.4,4,1,33
289,1,289,control,9.99,0.0,2025-01-15,0,0,0,50.27,4.3,0,1,84
290,1,290,variant_high,14.99,15.0,2024-12-20,1,1,1,68.34,55.0,2,1,81
291,1,291,variant_high,14.99,15.0,2024-02-28,1,1,0,59.6,82.9,4,1,9
292,1,292,variant_mid,12.99,10.0,2024-12-08,1,1,1,55.28,45.0,2,1,64
293,1,293,control,9.99,0.0,2025-03-07,0,0,0,160.37,0.0,2,1,29
294,1,294,control,9.99,0.0,2025-02-11,0,0,0,223.68,4.3,2,0,77
295,1,295,variant_high,14.99,15.0,2024-03-04,1,0,0,41.86,93.6,4,0,22
296,1,296,variant_high,14.99,15.0,2025-05-05,1,1,1,312.1,55.2,8,0,53
297,1,297,control,9.99,0.0,2024-09-12,1,0,0,35.89,69.5,3,1,55
298,1,298,control,9.99,0.0,2024-07-11,0,0,0,48.45,0.0,3,1,89
299,1,299,control,9.99,0.0,2025-10-02,0,0,0,17.05,9.4,2,1,61
300,1,300,variant_mid,12.99,10.0,2026-01-03,1,1,1,129.32,55.1,2,1,11
301,1,301,control,9.99,0.0,2024-04-04,1,0,0,50.8,44.1,2,0,15
302,1,302,variant_high,14.99,15.0,2024-12-30,0,0,0,222.48,6.5,5,1,31
303,1,303,control,9.99,0.0,2024-07-25,1,1,1,31.54,72.0,2,1,66
